artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Joe Satriani,The Elephants of Mars,3n2O6ayYyow2DuTIe8BXWl,24,2022,classical,0.501,0.936,8,-5.175,1,0.0761,0.000169,0.849,0.491,0.309,116.986,321280,4
Bury Your Dead,Maverick,51kvFW3A0oL79K0R6J4dyK,14,2019,death-metal,0.292,0.992,2,-3.195,1,0.0575,0.0019,0.0603,0.372,0.249,95.368,183066,4
Loud Luxury,Body On My,6e0CvGZf7CouOpYF8toXHC,57,2019,dance,0.744,0.726,1,-4.675,1,0.0463,0.0399,0.0,0.374,0.687,121.985,192507,4
Takashi Matsunaga,いつか王子様が (Full version),7eDPiLDlIYfZdV8jEspeId,20,2012,jazz,0.485,0.2,3,-14.522,1,0.0496,0.995,0.936,0.0867,0.131,71.205,195640,5
Meditation Music Zone,Spa Time and Sleep,7k4EQpn10lMy71K19L4hn3,25,2020,sleep,0.179,0.00849,1,-30.175,0,0.0461,0.985,0.924,0.103,0.0407,75.999,213296,4
JJ Lawhorn,Good Ol' Boys Like Us,2eKd40hvV5Pyp9J0pTlwdZ,38,2013,country,0.419,0.641,0,-5.827,1,0.0316,0.0266,0.0,0.187,0.228,139.57,259053,4
The Beach Boys,"Fun, Fun, Fun - Backing Track/Instrumental / Remastered 2001",0h6H1yWUDIMzpMqjppO2bO,7,2001,psych-rock,0.49,0.875,3,-7.92,1,0.0402,0.29,0.694,0.0972,0.978,155.74,146880,4
Imari Tones,Skies of Tokyo,47R9uR467NQUt19RnqQE1s,0,2007,heavy-metal,0.415,0.664,9,-5.79,0,0.0289,0.0109,0.0007,0.172,0.169,102.032,360200,4
Forró Boys,Alô Minas Gerais,62U2h8qQKuisT37Jm2op8b,15,2008,forro,0.678,0.895,7,-2.683,1,0.037,0.087,0.0,0.5,0.951,92.948,270173,4
Dj Thera,The Breaking Point - Prefix & Density Remix,1l0M0c8Hb4laL6hcP40rej,1,2014,hardstyle,0.579,0.988,9,-5.187,0,0.111,0.208,0.00282,0.593,0.141,149.987,344000,4
Free,Mr. Big - Live,5lY6t4LwC4JkO8aDm21ypG,6,2002,hard-rock,0.382,0.54,9,-9.973,1,0.0361,0.00188,0.152,0.936,0.452,148.328,372240,4
White Noise for Deeper Sleep,In Search of Rain,29S8fcagYOT2LtHGU6SsBt,0,2004,sleep,0.0817,0.14,4,-38.555,1,0.0829,0.787,0.863,0.192,0.038,83.375,177000,4
Banda Magníficos,Perdido de Amor / Fonte dos Desejos / Fora de Mim,1eYhgui5GZ7yJ3e8GDTd1Z,7,2016,forro,0.801,0.868,10,-5.253,1,0.0409,0.572,1.6e-05,0.123,0.874,108.033,349623,4
Houston Calls,Things Are Happening,5oToFnwxe7aUdT0Nhs8iQ9,7,2008,emo,0.498,0.868,2,-6.211,1,0.049,0.000202,0.0,0.0962,0.444,168.11,252720,4
Sultan + Shepard,Bloom,6vTIE4Loz4ROBDJc7yFoQK,34,2017,progressive-house,0.664,0.843,6,-5.716,0,0.0427,0.118,0.846,0.152,0.278,121.984,244726,4
Nouvelle Vague,Love Will Tear Us Apart,6CDoP0pDTfnWUabFnZkjRF,49,2004,electro,0.763,0.419,9,-9.47,1,0.0344,0.781,0.0951,0.204,0.689,129.987,198027,4
José Carreras,Mon Enfance,74h5R2pWroZ1Djs60yka8Q,0,2006,opera,0.231,0.303,4,-10.619,1,0.0322,0.697,0.00434,0.0709,0.0658,146.061,332080,3
